Date,Store,Category,Demand,IsPromo,IsSeason,StockLevel
2024-01-01,1,Recycled Denim,205,0,0,205
2024-01-01,1,Organic Cotton Tees,140,0,0,576
2024-01-01,1,Vegan Leather bags,370,1,0,915
2024-01-01,1,Bamboo Activewear,225,0,0,561
2024-01-02,1,Recycled Denim,195,0,0,819
2024-01-02,1,Organic Cotton Tees,190,0,0,978
2024-01-02,1,Vegan Leather bags,158,0,0,479
2024-01-02,1,Bamboo Activewear,172,0,0,256
2024-01-03,1,Recycled Denim,178,0,0,571
2024-01-03,1,Organic Cotton Tees,217,0,0,598
2024-01-03,1,Vegan Leather bags,225,0,0,872
2024-01-03,1,Bamboo Activewear,399,1,0,140
2024-01-04,1,Recycled Denim,349,1,0,132
2024-01-04,1,Organic Cotton Tees,234,0,0,506
2024-01-04,1,Vegan Leather bags,227,0,0,825
2024-01-04,1,Bamboo Activewear,451,1,0,838
2024-01-05,1,Recycled Denim,296,0,0,317
2024-01-05,1,Organic Cotton Tees,289,0,0,497
2024-01-05,1,Vegan Leather bags,157,0,0,653
2024-01-05,1,Bamboo Activewear,290,0,0,790
2024-01-06,1,Recycled Denim,203,0,0,195
2024-01-06,1,Organic Cotton Tees,299,0,0,584
2024-01-06,1,Vegan Leather bags,316,0,0,135
2024-01-06,1,Bamboo Activewear,429,1,0,938
2024-01-07,1,Recycled Denim,278,0,0,745
2024-01-07,1,Organic Cotton Tees,303,0,0,719
2024-01-07,1,Vegan Leather bags,262,0,0,605
2024-01-07,1,Bamboo Activewear,296,0,0,572
2024-01-08,1,Recycled Denim,191,0,0,732
2024-01-08,1,Organic Cotton Tees,188,0,0,844
2024-01-08,1,Vegan Leather bags,202,0,0,417
2024-01-08,1,Bamboo Activewear,161,0,0,918
2024-01-09,1,Recycled Denim,179,0,0,771
2024-01-09,1,Organic Cotton Tees,183,0,0,332
2024-01-09,1,Vegan Leather bags,198,0,0,367
2024-01-09,1,Bamboo Activewear,198,0,0,485
2024-01-10,1,Recycled Denim,186,0,0,835
2024-01-10,1,Organic Cotton Tees,354,1,0,502
2024-01-10,1,Vegan Leather bags,124,0,0,809
2024-01-10,1,Bamboo Activewear,243,0,0,935
2024-01-11,1,Recycled Denim,159,0,0,393
2024-01-11,1,Organic Cotton Tees,179,0,0,983
2024-01-11,1,Vegan Leather bags,424,1,0,243
2024-01-11,1,Bamboo Activewear,187,0,0,223
2024-01-12,1,Recycled Denim,289,0,0,863
2024-01-12,1,Organic Cotton Tees,275,0,0,502
2024-01-12,1,Vegan Leather bags,238,0,0,810
2024-01-12,1,Bamboo Activewear,301,0,0,739
2024-01-13,1,Recycled Denim,277,0,0,572
2024-01-13,1,Organic Cotton Tees,294,0,0,514
2024-01-13,1,Vegan Leather bags,523,1,0,445
2024-01-13,1,Bamboo Activewear,380,1,0,671
2024-01-14,1,Recycled Denim,297,0,0,108
2024-01-14,1,Organic Cotton Tees,264,0,0,758
2024-01-14,1,Vegan Leather bags,282,0,0,686
2024-01-14,1,Bamboo Activewear,551,1,0,519
2024-01-15,1,Recycled Denim,374,1,0,960
2024-01-15,1,Organic Cotton Tees,177,0,0,977
2024-01-15,1,Vegan Leather bags,230,0,0,780
2024-01-15,1,Bamboo Activewear,238,0,0,679
2024-01-16,1,Recycled Denim,233,0,0,995
2024-01-16,1,Organic Cotton Tees,174,0,0,294
2024-01-16,1,Vegan Leather bags,173,0,0,982
2024-01-16,1,Bamboo Activewear,203,0,0,121
2024-01-17,1,Recycled Denim,196,0,0,537
2024-01-17,1,Organic Cotton Tees,376,1,0,126
2024-01-17,1,Vegan Leather bags,280,0,0,580
2024-01-17,1,Bamboo Activewear,202,0,0,928
2024-01-18,1,Recycled Denim,243,0,0,611
2024-01-18,1,Organic Cotton Tees,211,0,0,319
2024-01-18,1,Vegan Leather bags,217,0,0,991
2024-01-18,1,Bamboo Activewear,188,0,0,379
2024-01-19,1,Recycled Denim,341,0,0,799
2024-01-19,1,Organic Cotton Tees,574,1,0,290
2024-01-19,1,Vegan Leather bags,235,0,0,422
2024-01-19,1,Bamboo Activewear,227,0,0,892
2024-01-20,1,Recycled Denim,214,0,0,738
2024-01-20,1,Organic Cotton Tees,312,0,0,485
2024-01-20,1,Vegan Leather bags,276,0,0,781
2024-01-20,1,Bamboo Activewear,328,0,0,966
2024-01-21,1,Recycled Denim,230,0,0,924
2024-01-21,1,Organic Cotton Tees,266,0,0,119
2024-01-21,1,Vegan Leather bags,296,0,0,982
2024-01-21,1,Bamboo Activewear,284,0,0,191
2024-01-22,1,Recycled Denim,255,0,0,150
2024-01-22,1,Organic Cotton Tees,179,0,0,674
2024-01-22,1,Vegan Leather bags,366,1,0,404
2024-01-22,1,Bamboo Activewear,203,0,0,937
2024-01-23,1,Recycled Denim,139,0,0,363
2024-01-23,1,Organic Cotton Tees,211,0,0,719
2024-01-23,1,Vegan Leather bags,270,0,0,922
2024-01-23,1,Bamboo Activewear,254,0,0,755
2024-01-24,1,Recycled Denim,249,1,0,756
2024-01-24,1,Organic Cotton Tees,204,0,0,886
2024-01-24,1,Vegan Leather bags,176,0,0,157
2024-01-24,1,Bamboo Activewear,447,1,0,850
2024-01-25,1,Recycled Denim,251,0,0,587
2024-01-25,1,Organic Cotton Tees,380,1,0,996
2024-01-25,1,Vegan Leather bags,378,1,0,889
2024-01-25,1,Bamboo Activewear,248,0,0,175
2024-01-26,1,Recycled Denim,232,0,0,146
2024-01-26,1,Organic Cotton Tees,248,0,0,849
2024-01-26,1,Vegan Leather bags,515,1,0,711
2024-01-26,1,Bamboo Activewear,282,0,0,833
2024-01-27,1,Recycled Denim,246,0,0,861
2024-01-27,1,Organic Cotton Tees,502,1,0,707
2024-01-27,1,Vegan Leather bags,397,1,0,891
2024-01-27,1,Bamboo Activewear,498,1,0,357
2024-01-28,1,Recycled Denim,284,0,0,763
2024-01-28,1,Organic Cotton Tees,263,0,0,774
2024-01-28,1,Vegan Leather bags,341,0,0,712
2024-01-28,1,Bamboo Activewear,183,0,0,676
2024-01-29,1,Recycled Denim,332,1,0,875
2024-01-29,1,Organic Cotton Tees,205,0,0,701
2024-01-29,1,Vegan Leather bags,198,0,0,925
2024-01-29,1,Bamboo Activewear,147,0,0,592
2024-01-30,1,Recycled Denim,353,1,0,860
2024-01-30,1,Organic Cotton Tees,184,0,0,968
2024-01-30,1,Vegan Leather bags,145,0,0,195
2024-01-30,1,Bamboo Activewear,162,0,0,289
2024-01-31,1,Recycled Denim,222,0,0,378
2024-01-31,1,Organic Cotton Tees,165,0,0,972
2024-01-31,1,Vegan Leather bags,189,0,0,828
2024-01-31,1,Bamboo Activewear,296,0,0,798
2024-02-01,1,Recycled Denim,186,0,0,895
2024-02-01,1,Organic Cotton Tees,411,1,0,483
2024-02-01,1,Vegan Leather bags,173,0,0,168
2024-02-01,1,Bamboo Activewear,198,0,0,124
2024-02-02,1,Recycled Denim,245,0,0,792
2024-02-02,1,Organic Cotton Tees,268,0,0,497
2024-02-02,1,Vegan Leather bags,296,0,0,334
2024-02-02,1,Bamboo Activewear,253,0,0,850
2024-02-03,1,Recycled Denim,282,0,0,352
2024-02-03,1,Organic Cotton Tees,311,0,0,273
2024-02-03,1,Vegan Leather bags,240,0,0,264
2024-02-03,1,Bamboo Activewear,267,0,0,747
2024-02-04,1,Recycled Denim,303,0,0,610
2024-02-04,1,Organic Cotton Tees,432,1,0,400
2024-02-04,1,Vegan Leather bags,231,0,0,544
2024-02-04,1,Bamboo Activewear,250,0,0,266
2024-02-05,1,Recycled Denim,190,0,0,319
2024-02-05,1,Organic Cotton Tees,199,0,0,759
2024-02-05,1,Vegan Leather bags,208,0,0,100
2024-02-05,1,Bamboo Activewear,174,0,0,447
2024-02-06,1,Recycled Denim,280,1,0,923
2024-02-06,1,Organic Cotton Tees,173,0,0,216
2024-02-06,1,Vegan Leather bags,370,1,0,328
2024-02-06,1,Bamboo Activewear,199,0,0,758
2024-02-07,1,Recycled Denim,480,1,0,625
2024-02-07,1,Organic Cotton Tees,211,0,0,612
2024-02-07,1,Vegan Leather bags,225,0,0,111
2024-02-07,1,Bamboo Activewear,368,1,0,883
2024-02-08,1,Recycled Denim,476,1,0,107
2024-02-08,1,Organic Cotton Tees,175,0,0,775
2024-02-08,1,Vegan Leather bags,230,0,0,831
2024-02-08,1,Bamboo Activewear,145,0,0,839
2024-02-09,1,Recycled Denim,490,1,0,823
2024-02-09,1,Organic Cotton Tees,331,0,0,851
2024-02-09,1,Vegan Leather bags,207,0,0,923
2024-02-09,1,Bamboo Activewear,594,1,0,350
2024-02-10,1,Recycled Denim,256,0,0,164
2024-02-10,1,Organic Cotton Tees,247,0,0,338
2024-02-10,1,Vegan Leather bags,192,0,0,953
2024-02-10,1,Bamboo Activewear,311,0,0,788
2024-02-11,1,Recycled Denim,163,0,0,484
2024-02-11,1,Organic Cotton Tees,223,0,0,922
2024-02-11,1,Vegan Leather bags,466,1,0,664
2024-02-11,1,Bamboo Activewear,469,1,0,557
2024-02-12,1,Recycled Denim,177,0,0,100
2024-02-12,1,Organic Cotton Tees,323,1,0,816
2024-02-12,1,Vegan Leather bags,209,0,0,133
2024-02-12,1,Bamboo Activewear,213,0,0,171
2024-02-13,1,Recycled Denim,95,0,0,870
2024-02-13,1,Organic Cotton Tees,191,0,0,367
2024-02-13,1,Vegan Leather bags,211,0,0,866
2024-02-13,1,Bamboo Activewear,239,0,0,306
2024-02-14,1,Recycled Denim,233,0,0,202
2024-02-14,1,Organic Cotton Tees,214,0,0,863
2024-02-14,1,Vegan Leather bags,445,1,0,434
2024-02-14,1,Bamboo Activewear,237,0,0,546
2024-02-15,1,Recycled Denim,138,0,0,434
2024-02-15,1,Organic Cotton Tees,257,0,0,858
2024-02-15,1,Vegan Leather bags,228,0,0,237
2024-02-15,1,Bamboo Activewear,393,1,0,429
2024-02-16,1,Recycled Denim,199,0,0,225
2024-02-16,1,Organic Cotton Tees,305,0,0,851
2024-02-16,1,Vegan Leather bags,174,0,0,947
2024-02-16,1,Bamboo Activewear,337,0,0,473
2024-02-17,1,Recycled Denim,280,0,0,380
2024-02-17,1,Organic Cotton Tees,402,1,0,294
2024-02-17,1,Vegan Leather bags,261,0,0,150
2024-02-17,1,Bamboo Activewear,272,0,0,104
2024-02-18,1,Recycled Denim,249,0,0,937
2024-02-18,1,Organic Cotton Tees,255,0,0,332
2024-02-18,1,Vegan Leather bags,211,0,0,893
2024-02-18,1,Bamboo Activewear,213,0,0,220
2024-02-19,1,Recycled Denim,162,0,0,147
2024-02-19,1,Organic Cotton Tees,200,0,0,125
2024-02-19,1,Vegan Leather bags,368,1,0,791
2024-02-19,1,Bamboo Activewear,176,0,0,738
2024-02-20,1,Recycled Denim,399,1,0,177
2024-02-20,1,Organic Cotton Tees,175,0,0,464
2024-02-20,1,Vegan Leather bags,225,0,0,462
2024-02-20,1,Bamboo Activewear,213,0,0,373
2024-02-21,1,Recycled Denim,151,0,0,730
2024-02-21,1,Organic Cotton Tees,205,0,0,813
2024-02-21,1,Vegan Leather bags,152,0,0,624
2024-02-21,1,Bamboo Activewear,205,0,0,679
2024-02-22,1,Recycled Denim,190,0,0,327
2024-02-22,1,Organic Cotton Tees,264,0,0,133
2024-02-22,1,Vegan Leather bags,243,0,0,653
2024-02-22,1,Bamboo Activewear,258,0,0,617
2024-02-23,1,Recycled Denim,367,1,0,414
2024-02-23,1,Organic Cotton Tees,507,1,0,840
2024-02-23,1,Vegan Leather bags,451,1,0,449
2024-02-23,1,Bamboo Activewear,170,0,0,929
2024-02-24,1,Recycled Denim,265,0,0,174
2024-02-24,1,Organic Cotton Tees,529,1,0,745
2024-02-24,1,Vegan Leather bags,591,1,0,673
2024-02-24,1,Bamboo Activewear,460,1,0,946
2024-02-25,1,Recycled Denim,307,0,0,744
2024-02-25,1,Organic Cotton Tees,255,0,0,217
2024-02-25,1,Vegan Leather bags,283,0,0,239
2024-02-25,1,Bamboo Activewear,227,0,0,189
2024-02-26,1,Recycled Denim,199,0,0,610
2024-02-26,1,Organic Cotton Tees,173,0,0,358
2024-02-26,1,Vegan Leather bags,173,0,0,749
2024-02-26,1,Bamboo Activewear,337,1,0,112
2024-02-27,1,Recycled Denim,270,0,0,518
2024-02-27,1,Organic Cotton Tees,181,0,0,916
2024-02-27,1,Vegan Leather bags,328,1,0,984
2024-02-27,1,Bamboo Activewear,244,0,0,236
2024-02-28,1,Recycled Denim,219,0,0,419
2024-02-28,1,Organic Cotton Tees,193,0,0,931
2024-02-28,1,Vegan Leather bags,215,0,0,927
2024-02-28,1,Bamboo Activewear,220,0,0,824
2024-02-29,1,Recycled Denim,218,0,0,673
2024-02-29,1,Organic Cotton Tees,160,0,0,848
2024-02-29,1,Vegan Leather bags,184,0,0,715
2024-02-29,1,Bamboo Activewear,256,0,0,790
2024-03-01,1,Recycled Denim,316,0,1,764
2024-03-01,1,Organic Cotton Tees,595,0,1,602
2024-03-01,1,Vegan Leather bags,318,0,1,678
2024-03-01,1,Bamboo Activewear,589,0,1,653
2024-03-02,1,Recycled Denim,522,0,1,577
2024-03-02,1,Organic Cotton Tees,1037,1,1,519
2024-03-02,1,Vegan Leather bags,982,1,1,510
2024-03-02,1,Bamboo Activewear,559,0,1,353
2024-03-03,1,Recycled Denim,481,0,1,941
